,amt,gender,category,is_fraud
10179,92.15,M,gas_transport,0
1183464,54.71,M,food_dining,0
841996,1.83,F,shopping_pos,0
1269333,63.55,M,grocery_pos,0
1116233,11.77,F,health_fitness,0
418898,12.11,F,food_dining,0
463438,6.33,F,misc_net,0
413464,66.91,F,gas_transport,0
626733,51.75,F,gas_transport,0
711718,122.39,M,grocery_pos,0
327835,437.71,M,travel,0
1209760,31.21,M,home,0
544720,33.47,M,grocery_net,0
423971,67.07,M,gas_transport,0
1274465,1.33,M,shopping_pos,0
54170,6.77,F,shopping_net,0
574798,18.43,F,shopping_pos,0
702254,21.45,M,grocery_net,0
544303,201.38,F,grocery_pos,0
5688,75.58,M,home,0
731794,62.8,M,gas_transport,0
381846,68.35,F,gas_transport,0
601204,18.87,F,home,0
876527,3.98,F,misc_pos,0
217703,1.52,M,misc_net,0
18770,62.43,M,gas_transport,0
1121831,4.05,M,health_fitness,0
264451,60.87,F,home,0
1093529,7.19,F,travel,0
36014,82.38,F,kids_pets,0
402878,9.61,F,shopping_net,0
369651,2.73,F,shopping_net,0
406964,185.39,F,health_fitness,0
124225,25.93,M,kids_pets,0
630585,9.01,F,shopping_net,0
568504,105.13,F,grocery_pos,0
193137,85.68,M,entertainment,0
296519,12.82,F,personal_care,0
632712,228.86,M,kids_pets,0
413425,13.97,F,misc_pos,0
775966,98.17,F,kids_pets,0
943395,73.78,F,gas_transport,0
704301,10.84,M,misc_net,0
496025,4.51,F,shopping_pos,0
1189921,1.26,F,misc_net,0
252676,80.58,F,misc_net,0
711165,64.76,M,food_dining,0
1267238,182.49,F,grocery_pos,0
827199,4.95,F,travel,0
1149778,42.1,F,kids_pets,0
691354,7.76,M,shopping_net,0
1098511,10.26,M,personal_care,0
147571,2.15,F,shopping_pos,0
304598,1.57,F,shopping_pos,0
710962,13.74,M,kids_pets,0
159234,6.41,F,shopping_net,0
723503,69.31,F,personal_care,0
1278730,37.15,F,shopping_pos,0
477592,139.14,F,health_fitness,0
132534,89.72,F,gas_transport,0
1149468,74.61,F,home,0
46526,66.19,M,misc_net,0
347888,1.01,F,shopping_net,0
875408,1.57,M,travel,0
299571,76.78,M,entertainment,0
1216436,91.1,M,grocery_pos,0
734936,174.2,F,grocery_pos,0
1056626,5.82,F,travel,0
39146,68.02,F,home,0
736927,93.63,M,home,0
853780,128.86,F,grocery_pos,0
161977,17.57,F,food_dining,0
58077,57.24,F,gas_transport,0
788854,21.73,F,personal_care,0
24655,87.51,M,grocery_pos,0
86504,224.7,F,grocery_pos,0
134808,163.2,F,misc_pos,0
157840,51.2,F,gas_transport,0
301599,1.92,F,shopping_pos,0
1199118,7.8,F,travel,0
151562,12.4,F,kids_pets,0
242522,79.87,F,health_fitness,0
299677,11.05,M,food_dining,0
349317,48.55,M,grocery_net,0
198805,21.18,M,food_dining,0
1115861,124.99,M,food_dining,0
375524,8.64,F,home,0
895854,10.66,M,home,0
1168700,125.36,M,grocery_pos,0
782937,22.45,F,personal_care,0
182840,80.51,M,entertainment,0
1227860,13.12,F,home,0
1153568,12.37,F,personal_care,0
849413,246.42,M,shopping_pos,0
81684,120.17,M,grocery_pos,0
355775,99.37,M,personal_care,0
1019064,45.77,F,entertainment,0
438512,20.23,F,kids_pets,0
43471,62.48,F,grocery_net,0
166134,100.25,M,misc_net,0
881731,61.01,M,food_dining,0
612401,18.83,M,entertainment,0
951964,8.42,F,shopping_net,0
385132,42.51,M,entertainment,0
145717,110.95,F,food_dining,0
948895,6.59,M,shopping_pos,0
321273,96.11,F,gas_transport,0
1079475,55.56,M,grocery_pos,0
460035,121.17,F,misc_pos,0
838440,9.68,F,shopping_pos,0
609086,7.98,M,shopping_net,0
313772,61.3,M,health_fitness,0
323356,58.54,F,food_dining,0
762453,12.32,M,kids_pets,0
632073,64.4,F,gas_transport,0
9497,57.28,F,entertainment,0
769090,10.22,F,misc_pos,0
308521,79.59,M,personal_care,0
945204,44.65,M,health_fitness,0
427763,1.6,F,shopping_pos,0
500914,65.66,F,kids_pets,0
133467,27.82,M,kids_pets,0
1075092,87.05,F,health_fitness,0
1079814,163.57,M,grocery_pos,0
173642,294.69,F,shopping_net,0
1250352,6.67,M,personal_care,0
635114,48.17,M,kids_pets,0
475971,7.64,F,shopping_pos,0
93223,46.08,M,kids_pets,0
235279,6.36,M,shopping_pos,0
1277964,39.28,F,personal_care,0
136140,33.48,M,grocery_net,0
93379,39.92,F,home,0
1096968,209.6,M,personal_care,0
728631,2.18,M,food_dining,0
127330,5.44,F,shopping_net,0
752108,96.51,M,home,0
67657,74.29,M,grocery_pos,0
831588,32.84,M,gas_transport,0
720065,72.83,M,health_fitness,0
730119,28.24,F,personal_care,0
1295359,4.89,F,misc_net,0
296767,54.72,M,food_dining,0
1285696,79.2,F,personal_care,0
681792,105.31,M,misc_net,0
1166893,56.32,F,gas_transport,0
732861,19.33,M,entertainment,0
1057596,63.71,M,gas_transport,0
650461,5.81,M,shopping_pos,0
1012801,11.89,M,entertainment,0
584800,57.14,M,gas_transport,0
209169,1.37,F,shopping_net,0
1167441,9.32,M,shopping_pos,0
1209682,79.13,M,health_fitness,0
32304,46.1,M,grocery_pos,0
901063,50.29,M,gas_transport,0
20180,66.21,F,grocery_net,0
771887,197.23,F,grocery_pos,0
848320,48.87,M,gas_transport,0
124305,14.71,M,health_fitness,0
269268,91.18,M,shopping_net,0
1296192,71.15,F,gas_transport,0
505237,5.55,F,shopping_pos,0
670683,54.26,F,gas_transport,0
926908,22.76,M,home,0
703756,50.9,M,health_fitness,0
655960,49.27,F,home,0
1196056,6.83,F,shopping_pos,0
250853,21.92,F,health_fitness,0
143708,54.59,F,entertainment,0
303811,79.02,M,personal_care,0
1170092,99.84,F,entertainment,0
233824,36.12,F,misc_pos,0
756215,2.18,F,misc_net,0
184908,241.88,F,entertainment,0
434765,57.98,F,personal_care,0
315900,1.04,F,shopping_net,0
1039537,78.83,M,grocery_pos,0
671710,2.4,M,travel,0
1045883,8.18,F,kids_pets,0
55724,2.65,M,misc_net,0
174670,70.34,F,entertainment,0
1018399,51.17,M,kids_pets,0
865500,4.53,F,entertainment,0
670734,37.06,F,grocery_net,0
1192952,114.29,F,home,0
921854,6.2,M,shopping_pos,0
1008583,3.9,F,shopping_net,0
1213531,7.74,M,personal_care,0
1041308,78.85,M,gas_transport,0
535367,54.11,F,shopping_net,0
135804,53.14,M,food_dining,0
123763,98.5,M,grocery_pos,0
403717,26.8,F,misc_pos,0
980981,77.11,F,personal_care,0
770061,75.01,M,health_fitness,0
404637,1.31,F,shopping_pos,0
717275,8.05,F,home,0
564159,35.37,F,misc_net,0
362448,129.48,M,entertainment,0
566538,9.63,M,shopping_net,0
332618,27.77,F,entertainment,0
1212548,90.98,M,grocery_pos,0
492700,47.3,F,home,0
650449,40.86,M,entertainment,0
1270918,8.18,F,shopping_pos,0
355975,39.27,F,home,0
46914,16.56,F,home,0
1031776,28.47,F,grocery_net,0
1157913,89.83,M,personal_care,0
786610,10.99,F,home,0
392713,5.08,F,misc_net,0
671115,90.94,F,gas_transport,0
974061,49.16,M,health_fitness,0
363589,108.29,M,kids_pets,0
990810,40.27,F,personal_care,0
669177,19.24,F,health_fitness,0
1186919,96.21,M,grocery_pos,0
389663,118.88,F,shopping_pos,0
850457,10.14,M,personal_care,0
614504,25.89,F,shopping_pos,0
1199919,357.42,F,shopping_net,0
623087,76.75,M,grocery_pos,0
1203054,145.07,F,misc_net,0
935486,1.46,F,shopping_pos,0
1221301,4.18,F,kids_pets,0
10608,424.37,M,shopping_pos,0
557077,178.63,M,kids_pets,0
1151654,24.03,M,kids_pets,0
472467,136.86,F,grocery_pos,0
265995,7.89,M,shopping_pos,0
17157,104.92,M,grocery_pos,0
1202578,1.24,F,health_fitness,0
565108,6.24,F,home,0
1053633,8.55,F,shopping_pos,0
804463,91.3,F,kids_pets,0
843437,62.05,F,gas_transport,0
1099062,1932.37,M,shopping_pos,0
349786,13.39,F,home,0
498661,52.05,F,home,0
422640,3.28,M,shopping_net,0
934466,1.12,M,personal_care,0
581838,229.21,F,grocery_pos,0
675977,152.49,F,personal_care,0
792392,74.91,M,gas_transport,0
1214150,1.25,M,shopping_pos,0
777471,78.22,M,personal_care,0
895084,30.23,M,home,0
32563,92.43,F,kids_pets,0
1179787,80.16,F,kids_pets,0
723316,20.01,M,food_dining,0
175377,5.7,M,shopping_net,0
680936,45.23,F,entertainment,0
786919,95.52,F,kids_pets,0
786486,16.6,F,shopping_net,0
774741,7.97,M,personal_care,0
687633,28.21,F,personal_care,0
40905,51.62,F,gas_transport,0
199509,5.68,M,misc_net,0
481645,87.73,M,home,0
337992,156.97,F,misc_net,0
1266058,4.46,M,travel,0
744361,147.03,M,shopping_pos,0
291623,33.68,F,kids_pets,0
1001141,116.52,F,grocery_pos,0
737597,78.02,M,misc_net,0
1079057,53.82,F,gas_transport,0
863604,41.92,M,grocery_pos,0
960731,57.03,F,food_dining,0
1049029,5.1,M,shopping_pos,0
393025,5.23,M,shopping_net,0
340033,9.32,M,home,0
94720,28.7,M,food_dining,0
8631,14.1,M,misc_pos,0
128611,78.37,F,food_dining,0
1134574,18.17,F,entertainment,0
1055244,42.74,F,gas_transport,0
716955,6.94,F,shopping_pos,0
406052,5.37,M,shopping_net,0
886154,57.39,M,gas_transport,0
629750,87.24,F,food_dining,0
529591,49.48,F,grocery_net,0
1229541,53.81,F,gas_transport,0
245015,139.53,M,shopping_pos,0
1241162,80.06,F,shopping_net,0
898759,50.38,F,personal_care,0
18126,43.44,F,home,0
1174861,73.1,F,gas_transport,0
776850,1.47,F,misc_net,0
1295817,73.87,F,gas_transport,0
109818,65.05,F,personal_care,0
383015,33.28,F,personal_care,0
1203949,2.18,M,misc_pos,0
557920,13.14,F,food_dining,0
776812,91.92,M,grocery_pos,0
92484,74.08,M,home,0
282644,133.15,F,kids_pets,0
599974,24.13,M,health_fitness,0
1206252,63.81,F,gas_transport,0
1106142,66.9,M,food_dining,0
839388,24.74,M,entertainment,0
604340,117.75,F,grocery_pos,0
572404,68.94,F,kids_pets,0
370937,44.46,M,gas_transport,0
354699,50.46,M,gas_transport,0
694101,2.76,F,misc_pos,0
794782,104.46,F,entertainment,0
995780,85.35,F,grocery_pos,0
351194,45.65,F,shopping_net,0
781542,6.86,M,shopping_pos,0
1114195,44.2,F,food_dining,0
1130799,9.0,F,food_dining,0
901013,64.27,F,gas_transport,0
695666,45.21,F,grocery_net,0
392159,3.01,M,home,0
185815,15.31,M,personal_care,0
258163,5.71,M,personal_care,0
865505,503.06,M,travel,0
581699,180.23,F,grocery_pos,0
592635,45.49,M,home,0
664509,277.22,M,misc_pos,0
138823,75.47,F,gas_transport,0
285267,91.14,M,home,0
478616,203.06,F,shopping_pos,0
302634,3.15,M,misc_net,0
230243,63.3,M,food_dining,0
696750,176.06,M,health_fitness,0
180147,48.81,M,gas_transport,0
1056557,9.23,F,shopping_net,0
1076049,3.79,M,misc_pos,0
1081038,96.61,F,food_dining,0
117440,2.66,M,food_dining,0
1101856,61.31,M,home,0
355352,54.31,M,personal_care,0
760256,11.62,F,shopping_pos,0
490859,74.83,M,health_fitness,0
1104741,50.88,M,grocery_pos,0
493843,6.0,F,kids_pets,0
1247343,6.5,M,misc_net,0
205787,102.02,F,grocery_pos,0
749367,6.08,M,travel,0
1004570,27.74,F,personal_care,0
61894,52.96,M,home,0
52188,50.18,F,kids_pets,0
995439,101.97,F,shopping_net,0
80215,196.51,F,misc_pos,0
212756,101.68,F,home,0
1155455,116.14,M,shopping_pos,0
405184,4.05,F,shopping_pos,0
701098,37.22,F,entertainment,0
994210,3.72,M,shopping_net,0
796559,93.28,M,grocery_pos,0
1285830,16.84,F,personal_care,0
1195981,4.06,M,home,0
916018,99.54,M,shopping_net,0
627856,15.17,F,entertainment,0
996248,8.12,F,personal_care,0
222239,35.57,M,personal_care,0
521551,48.63,F,home,0
1060590,42.37,M,grocery_net,0
858057,115.25,M,misc_pos,0
975257,15.09,M,home,0
439119,45.62,M,misc_pos,0
107802,81.19,M,grocery_net,0
846396,40.58,F,health_fitness,0
1204966,42.1,F,personal_care,0
661068,51.44,M,grocery_pos,0
696398,28.64,F,kids_pets,0
1191731,115.27,F,entertainment,0
60940,8.46,M,health_fitness,0
1029742,2.12,M,shopping_net,0
320784,52.44,F,food_dining,0
1237083,22.7,F,health_fitness,0
173856,47.0,F,misc_pos,0
45365,3.74,M,food_dining,0
223416,73.61,F,home,0
676002,207.05,F,misc_pos,0
376162,5.84,F,shopping_net,0
469925,67.76,F,gas_transport,0
217612,60.6,M,home,0
388589,121.59,M,grocery_pos,0
253588,34.81,F,grocery_net,0
68714,2.08,M,home,0
450445,97.44,M,home,0
74256,55.35,F,kids_pets,0
561457,6.87,F,shopping_pos,0
388704,65.06,M,gas_transport,0
486189,1.52,F,kids_pets,0
626625,88.51,M,grocery_pos,0
164580,152.09,F,home,0
1239368,141.19,M,shopping_pos,0
642258,108.88,F,grocery_pos,0
92394,55.27,M,personal_care,0
810216,1.86,M,shopping_net,0
983282,6.38,F,shopping_net,0
1170033,75.74,F,entertainment,0
792252,70.65,F,gas_transport,0
403012,4.38,F,personal_care,0
487009,65.25,M,gas_transport,0
292629,129.44,M,shopping_pos,0
1296475,208.5,F,misc_net,0
260488,87.09,M,home,0
583361,133.15,F,grocery_pos,0
842923,34.99,M,entertainment,0
1143896,93.18,M,misc_pos,0
694684,11.92,M,home,0
726996,76.71,F,personal_care,0
447707,77.14,F,gas_transport,0
1229496,2.85,F,shopping_pos,0
1142811,37.39,F,gas_transport,0
218885,99.15,M,shopping_net,0
700288,67.43,M,grocery_pos,0
663285,6.55,M,home,0
1012331,32.87,M,health_fitness,0
823246,66.94,F,gas_transport,0
641123,3.47,M,shopping_net,0
532744,31.3,F,home,0
878954,109.95,F,grocery_pos,0
1029602,146.38,M,home,0
261074,27.23,M,shopping_net,0
122022,41.98,F,shopping_net,0
39348,18.32,M,health_fitness,0
258381,61.18,F,home,0
286081,4.75,M,travel,0
533748,54.43,M,home,0
668943,8.06,F,travel,0
975497,2.86,F,food_dining,0
125793,22.24,F,personal_care,0
1163733,6.66,F,travel,0
177961,31.45,F,grocery_net,0
472353,162.42,M,grocery_pos,0
388830,1.94,F,misc_net,0
14452,63.75,M,grocery_pos,0
1248941,72.15,F,grocery_net,0
691173,44.15,M,home,0
753726,60.92,F,gas_transport,0
1243249,101.04,F,grocery_pos,0
168328,141.57,M,shopping_pos,0
1254144,6.05,M,shopping_net,0
35222,26.19,F,home,0
11144,52.46,F,kids_pets,0
1118573,7.66,M,shopping_pos,0
897619,6.14,F,entertainment,0
797712,16.19,M,entertainment,0
905400,28.97,F,entertainment,0
564686,2.12,F,home,0
1138479,81.57,F,food_dining,0
375158,221.36,M,kids_pets,0
742070,22.06,F,grocery_net,0
876151,16.15,F,home,0
680408,744.34,F,shopping_pos,0
86119,5.72,M,shopping_pos,0
844784,14.49,M,home,0
786028,19.61,F,misc_net,0
1057155,66.73,F,gas_transport,0
461678,87.56,F,shopping_pos,0
122973,117.29,F,grocery_pos,0
1269505,38.56,F,kids_pets,0
133193,15.35,F,food_dining,0
1179260,114.23,M,home,0
1096571,23.75,M,food_dining,0
337623,124.34,M,grocery_pos,0
1147387,53.68,F,gas_transport,0
326691,162.45,M,personal_care,0
768916,60.64,F,gas_transport,0
471100,4.82,F,shopping_net,0
1081208,55.09,F,entertainment,0
1294054,9.74,M,shopping_pos,0
596586,57.28,M,kids_pets,0
677614,45.51,M,food_dining,0
235429,45.7,M,health_fitness,0
1077249,6.31,M,shopping_net,0
249685,875.79,F,misc_pos,0
846689,7.41,F,travel,0
600911,32.54,F,home,0
308663,21.36,F,entertainment,0
206963,68.47,F,entertainment,0
482466,50.19,F,personal_care,0
476953,537.81,M,travel,0
1057764,53.75,F,gas_transport,0
1202390,3.37,F,food_dining,0
182082,55.5,M,grocery_net,0
484015,8.95,F,travel,0
443226,94.04,M,shopping_net,0
284218,221.67,F,grocery_pos,0
836193,29.88,M,kids_pets,0
1293838,70.64,M,gas_transport,0
254009,28.51,F,food_dining,0
1140863,62.08,F,health_fitness,0
441242,17.39,F,personal_care,0
1254805,104.01,F,home,0
1183549,312.76,F,shopping_net,0
982998,140.04,M,health_fitness,0
50923,31.74,M,home,0
343587,59.86,F,personal_care,0
589619,5.32,M,misc_pos,0
725654,1.26,M,misc_pos,0
1024442,3.66,M,shopping_net,0
525301,3.31,M,kids_pets,0
353806,218.59,F,grocery_pos,0
198347,32.16,F,food_dining,0
509476,18.63,M,entertainment,0
1140747,147.98,F,food_dining,0
680806,37.94,F,kids_pets,0
418784,279.86,M,health_fitness,0
611211,10.93,F,health_fitness,0
1290881,190.3,F,grocery_pos,0
993401,38.16,F,gas_transport,0
581949,72.83,F,kids_pets,0
574249,108.76,F,grocery_pos,0
643158,54.83,F,kids_pets,0
499981,150.88,M,food_dining,0
90897,9.67,F,misc_pos,0
1151132,76.05,M,gas_transport,0
361599,19.42,F,grocery_net,0
223513,50.64,M,kids_pets,0
80730,9.56,F,entertainment,0
1112316,59.56,F,home,0
496622,13.81,F,food_dining,0
532020,31.78,M,gas_transport,0
204208,9.8,F,misc_pos,0
673183,1.78,M,shopping_net,0
481952,28.11,F,home,0
1190294,31.92,M,misc_pos,0
846947,35.31,M,shopping_pos,0
48496,4.49,M,entertainment,0
1249706,100.39,M,health_fitness,0
301773,44.11,M,grocery_pos,0
397533,5.62,F,shopping_net,0
1106370,3.85,F,travel,0
578382,76.77,F,grocery_net,0
327670,82.96,F,entertainment,0
75613,236.22,F,grocery_pos,0
612415,8.89,F,food_dining,0
367080,106.12,M,misc_net,0
224881,5.18,F,shopping_net,0
309115,8.01,F,kids_pets,0
1258982,61.82,F,gas_transport,0
1112593,60.28,F,kids_pets,0
650853,7.05,M,health_fitness,0
950196,26.49,M,kids_pets,0
986678,78.06,M,grocery_pos,0
757955,3.99,M,shopping_pos,0
82286,76.12,M,gas_transport,0
1143549,36.61,M,food_dining,0
225107,76.08,M,entertainment,0
665362,7.87,M,personal_care,0
640606,39.9,F,home,0
708446,5.79,F,shopping_pos,0
940929,7.45,M,shopping_pos,0
918683,166.87,M,home,0
584874,30.55,M,misc_pos,0
1049692,2.37,F,shopping_net,0
534880,36.05,F,grocery_net,0
563878,15.48,M,misc_net,0
583779,56.02,M,food_dining,0
49531,73.55,M,health_fitness,0
955045,75.13,M,health_fitness,0
469438,50.94,F,shopping_pos,0
41970,38.8,F,food_dining,0
1253257,66.03,F,gas_transport,0
61061,16.17,M,home,0
29064,9.51,M,misc_net,0
961462,63.12,F,gas_transport,0
38764,58.54,M,gas_transport,0
226005,125.45,M,shopping_pos,0
862620,9.47,F,misc_net,0
479520,2.26,M,misc_net,0
178836,81.61,M,food_dining,0
327067,51.5,M,gas_transport,0
737317,43.75,M,grocery_net,0
865249,56.62,M,kids_pets,0
142680,92.41,F,grocery_pos,0
23982,118.46,F,food_dining,0
